dC1        dC2        P1         P2         P3         C1         C2         D          N          Stabile    Residuo          Eigenvalues 7D (Re + Im j)                                                                                    
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0.9939     0.6109     0.7461     0.2273     0.3372     0.0627     0.0627     5.0297     0.0343     SI         0.0000000004     -2.744575+0.000000j | -0.016181+0.165438j | -0.016181-0.165438j | -0.004320+0.065552j | -0.004320-0.065552j | +0.000000+0.000000j | +0.000000+0.000000j
0.6799     0.8634     1.1268     2.2185     1.0532     0.0265     0.0265     2.0439     0.0046     SI         0.0000005264     -8.778681+0.000000j | -0.002639+0.048796j | -0.002639-0.048796j | -0.008130+0.024374j | -0.008130-0.024374j | +0.000000+0.000000j | -0.000000+0.000000j
0.8042     0.6681     0.5812     0.3814     0.4367     0.0670     0.0670     4.9320     0.0347     SI         0.0000000000     -2.666874+0.000000j | -0.014322+0.156735j | -0.014322-0.156735j | -0.005987+0.074126j | -0.005987-0.074126j | -0.000000+0.000000j | +0.000000+0.000000j
1.0193     0.7452     2.0723     1.2411     0.7878     0.0265     0.0265     2.3408     0.0050     SI         0.0000000003     -9.380872+0.000000j | -0.004709+0.059181j | -0.004709-0.059181j | -0.006197+0.022966j | -0.006197-0.022966j | -0.000000+0.000000j | -0.000000+0.000000j
0.8616     0.5143     0.3635     0.0796     0.1995     0.0816     0.0816     5.6103     0.0839     SI         0.0000000061     -1.029717+0.000000j | -0.041630+0.280409j | -0.041630-0.280409j | -0.003708+0.098744j | -0.003708-0.098744j | +0.000000+0.000000j | -0.000000+0.000000j
0.7088     0.7335     0.5754     0.6413     0.5663     0.0633     0.0633     4.5643     0.0262     SI         0.0000000000     -3.335054+0.000000j | -0.009732+0.126269j | -0.009732-0.126269j | -0.007010+0.066696j | -0.007010-0.066696j | +0.000000+0.000000j | +0.000000+0.000000j
0.7660     0.5392     0.3175     0.1122     0.2369     0.0855     0.0855     5.5769     0.0856     SI         0.0000000002     -0.999759+0.000000j | -0.040896+0.271113j | -0.040896-0.271113j | -0.004639+0.109292j | -0.004639-0.109292j | -0.000000+0.000000j | +0.000000+0.000000j
1.0427     0.5307     0.5646     0.0794     0.1993     0.0694     0.0694     5.4616     0.0562     SI         0.0000001011     -1.692846+0.000000j | -0.027996+0.223749j | -0.027996-0.223749j | -0.002861+0.073135j | -0.002861-0.073135j | -0.000000+0.000000j | -0.000000+0.000000j
1.3882     0.5986     2.0373     0.1937     0.3112     0.0389     0.0389     3.8683     0.0115     SI         0.0000003565     -6.624450+0.000000j | -0.009364+0.083477j | -0.009364-0.083477j | -0.002733+0.027108j | -0.002733-0.027108j | -0.000000+0.000000j | +0.000000+0.000000j
1.2325     0.6020     1.3231     0.2069     0.3216     0.0494     0.0494     4.5300     0.0196     SI         0.0000000965     -4.471661+0.000000j | -0.011458+0.119740j | -0.011458-0.119740j | -0.003220+0.041597j | -0.003220-0.041597j | -0.000000+0.000000j | +0.000000+0.000000j
